Genus	Count
Escherichia	998
Streptococcus	696
Staphylococcus	532
Enterococcus	522
Salmonella	328
Helicobacter	247
Bacillus	247
Acinetobacter	213
Bacteroides	172
Campylobacter	137
Klebsiella	126
Bifidobacterium	124
Pseudomonas	107
Clostridium	98
Cutibacterium	89
unclassified Lachnospiraceae	89
Lactobacillus	82
Prevotella	68
Blautia	66
Lacticaseibacillus	50
Paeniclostridium	47
Listeria	43
Phocaeicola	40
Corynebacterium	39
Haemophilus	38
Mycobacteroides	37
Lachnoclostridium	35
Fusobacterium	35
Shigella	34
Parabacteroides	33
Limosilactobacillus	32
unclassified Ruminococcaceae	31
Ligilactobacillus	29
Vibrio	29
Clostridioides	29
Enterobacter	29
Eggerthella	29
Yersinia	28
Sarcina	27
Alistipes	27
Citrobacter	26
Aeromonas	25
Mediterraneibacter	24
Collinsella	24
Dorea	23
Coprococcus	23
Lactococcus	23
Ruminococcus	22
Actinomyces	22
Proteus	21
unclassified Erysipelotrichaceae	21
Brachyspira	21
Enterocloster	20
Paenibacillus	20
Roseburia	19
Ureaplasma	19
Neisseria	18
Veillonella	18
Leuconostoc	17
Anaerostipes	16
Pediococcus	16
Moraxella	15
Lactiplantibacillus	14
Eubacterium	14
Capnocytophaga	14
Actinobacillus	14
Erysipelatoclostridium	13
Anaerococcus	13
Peptoniphilus	13
Porphyromonas	12
Treponema	12
Providencia	12
Lachnospira	12
Selenomonas	11
Stenotrophomonas	11
Serratia	11
Comamonas	10
Bradyrhizobium	10
unclassified Clostridiaceae	10
Cronobacter	10
Faecalibacterium	10
Mycobacterium	10
Micrococcus	9
Rhodococcus	9
Turicibacter	9
Priestia	8
Ralstonia	8
Pantoea	8
Edwardsiella	8
Mobiluncus	8
Burkholderia	8
Lentilactobacillus	8
Achromobacter	8
Leptotrichia	8
Flavonifractor	8
Acetivibrio	7
Rothia	7
unclassified Clostridiales incertae sedis	7
Fructilactobacillus	7
Propionibacterium	7
Weissella	7
Mycoplasma	7
Lysinibacillus	7
Paraclostridium	7
Schaalia	7
Anaerotruncus	7
Kluyvera	6
Megasphaera	6
Desulfovibrio	6
Myroides	6
Aggregatibacter	6
Photobacterium	6
Ruminiclostridium	6
Barnesiella	6
Acidaminococcus	6
Intestinimonas	6
Sutterella	6
Hafnia	5
Latilactobacillus	5
Coprobacillus	5
Oscillibacter	5
Odoribacter	5
Mesomycoplasma	5
unclassified Porphyromonadaceae	5
Rhizobium	5
Finegoldia	5
Lachnobacterium	5
Dialister	5
Brevibacillus	5
Raoultella	5
Gemella	5
Adlercreutzia	5
Variovorax	5
Peptostreptococcus	4
Exiguobacterium	4
Eisenbergiella	4
Alcaligenes	4
Thermus	4
Gemmiger	4
Agrobacterium	4
Desulfitobacterium	4
Akkermansia	4
Bdellovibrio	4
Enorma	4
Mammaliicoccus	4
Hungatella	4
Morganella	4
Herbaspirillum	4
Brucella	4
Slackia	4
Lachnoanaerobaculum	4
Butyricimonas	4
Levilactobacillus	4
Oceanobacillus	4
Kocuria	4
Aliarcobacter	4
Christensenella	4
Lacrimispora	4
Intestinibacter	4
Romboutsia	4
Terrisporobacter	4
Carnobacterium	4
Brevibacterium	4
Butyrivibrio	3
Megamonas	3
Aerococcus	3
Photorhabdus	3
Gardnerella	3
Kingella	3
Microbacterium	3
Brevundimonas	3
Fusicatenibacter	3
Erysipelothrix	3
Companilactobacillus	3
Rahnella	3
unclassified Clostridiales Incertae Sedis XIII	3
Fructobacillus	3
Virgibacillus	3
Kytococcus	3
Flavobacterium	3
Bilophila	3
Facklamia	3
Oligella	3
Methyloversatilis	3
Rubrobacter	3
Parascardovia	3
Alloprevotella	3
Fannyhessea	3
Paucilactobacillus	3
Alkalihalobacillus	3
Apilactobacillus	3
Aliivibrio	3
Olsenella	3
Delftia	3
unclassified Bacteria	3
Alloscardovia	3
Gordonibacter	3
Mitsuokella	3
Gordonia	3
Cellulomonas	3
Catenibacterium	3
Thermoclostridium	3
Parvibacter	2
Plesiomonas	2
Loigolactobacillus	2
Pseudoalteromonas	2
Phascolarctobacterium	2
Parvimonas	2
Kurthia	2
Mageeibacillus	2
Pseudoleptotrichia	2
Fulvimarina	2
Granulicatella	2
Jonquetella	2
Gracilibacillus	2
Gottschalkia	2
Holdemania	2
Dellaglioa	2
Paraprevotella	2
Geobacillus	2
Kallipyga	2
Acidipropionibacterium	2
Roseomonas	2
Pseudoflavonifractor	2
Sneathia	2
Sphingosinicella	2
Mogibacterium	2
Butyricicoccus	2
unclassified Burkholderiales	2
Bordetella	2
Murdochiella	2
Bartonella	2
unclassified Bacteroidetes	2
unclassified Clostridiales	2
Streptomyces	2
Subdoligranulum	2
Succiniclasticum	2
Synergistes	2
Syntrophus	2
Lancefieldella	2
Tannerella	2
Obesumbacterium	2
Tetragenococcus	2
Metamycoplasma	2
Anaerotignum	2
Anaerosalibacter	2
Tropheryma	2
Natranaerovirga	2
Vagococcus	2
Vallitalea	2
Varibaculum	2
Gleimia	2
Acidobacterium	2
Victivallis	2
Solobacterium	2
Cardiobacterium	2
Oribacterium	2
Mesorhizobium	2
Ewingella	2
Peptoanaerobacter	2
Anaerobutyricum	2
Faecalitalea	2
Erwinia	2
Reyranella	2
Pluralibacter	2
unclassified Rikenellaceae	2
Robinsoniella	2
Dysgonomonas	2
Dolosigranulum	2
Dietzia	2
Paludibacter	2
Dyadobacter	2
Dermacoccus	2
Oxalobacter	2
Chlorobium	2
Shewanella	2
Tyzzerella	2
Paenisporosarcina	2
Methylobacterium	2
Leclercia	2
Scardovia	2
Curtobacterium	2
Ruthenibacterium	2
Methanobrevibacter	2
Olegusella	1
Papillibacter	1
Numidum	1
Paracoccus	1
Paraeggerthella	1
Novosphingobium	1
Parasporobacterium	1
Parapedobacter	1
Noviherbaspirillum	1
Nosocomiicoccus	1
Paraburkholderia	1
Abiotrophia	1
Parasutterella	1
Saccharolobus	1
Sinobacterium	1
Sphingobium	1
Sphingobacterium	1
Spiroplasma	1
Spirosoma	1
Sporobacter	1
Stomatobaculum	1
Candidatus Stoquefichus	1
Faecalicoccus	1
Succinatimonas	1
Succinivibrio	1
Tatumella	1
Shuttleworthia	1
Tessaracoccus	1
Thalassobacillus	1
Thermoanaerobacter	1
Timonella	1
Trabulsiella	1
Trueperella	1
Turicimonas	1
Ureibacillus	1
unclassified Veillonellaceae	1
Vitreoscilla	1
Xanthomonas	1
Silanimonas	1
Chania	1
Pasteurella	1
Rickettsiella	1
Pelomonas	1
Pirellula	1
Planococcus	1
unclassified Prevotellaceae	1
Arachnia	1
Proteiniphilum	1
Pseudobutyrivibrio	1
Pseudoglutamicibacter	1
Pseudoramibacter	1
Pseudoxanthomonas	1
Pyramidobacter	1
Rikenella	1
Senegalimassilia	1
Risungbinella	1
Rodentibacter	1
Nigerium	1
Rubeoparvulum	1
Rudanella	1
unclassified Hungateiclostridiaceae	1
Salinibacterium	1
Schlesneria	1
Schwartzia	1
Sediminibacterium	1
Sellimonas	1
Nocardioides	1
Halococcus	1
Nevskia	1
Caecibacter	1
Cellulosilyticum	1
Cedecea	1
Catonella	1
Candidatus Soleaferrea	1
Candidatus Saccharimonas	1
Candidatus Pelagibacter	1
Nitrososphaera	1
Bulleidia	1
Nesterenkonia	1
Brochothrix	1
Brachybacterium	1
Bosea	1
Candidatus Borkfalkia	1
Blastococcus	1
Bittarella	1
Beduini	1
Cellulosimicrobium	1
Centipeda	1
Cetobacterium	1
unclassified Christensenellaceae	1
Dakarella	1
Curvibacter	1
Cupriavidus	1
Cuneatibacter	1
Culturomica	1
Cryptobacterium	1
Cryocola	1
Coprobacter	1
Colibacter	1
Cohnella	1
Acetoanaerobium	1
Peptacetobacter	1
unclassified Eubacteriales	1
Cloacibacterium	1
Cloacibacillus	1
unclassified Bacteroidales	1
Caldibacillus	1
Peribacillus	1
Aminivibrio	1
Allobaculum	1
Alkaliphilus	1
Alkalibaculum	1
Afipia	1
Aeromicrobium	1
Advenella	1
Acutalibacter	1
Pauljensenia	1
Acidovorax	1
Acidaminobacter	1
Acetonema	1
Acetobacterium	1
Acetatifactor	1
Acetanaerobacterium	1
Acaryochloris	1
Alloiococcus	1
Acetomicrobium	1
Alkalihalophilus	1
Anaerobiospirillum	1
Niallia	1
Robertmurraya	1
Siminovitchia	1
Cytobacillus	1
Auritidibacter	1
Atopobium	1
Arthrobacter	1
Ardenticatena	1
Arcanobacterium	1
Aneurinibacillus	1
Anaerovorax	1
Anaerosporobacter	1
Anaeroplasma	1
Anaeroglobus	1
Anaerofustis	1
Azospira	1
Dehalobacterium	1
Dermabacter	1
Meiothermus	1
Massilibacterium	1
Marvinbryantia	1
Marinospirillum	1
Longicatena	1
Longibaculum	1
Yoonia	1
Leminorella	1
Lautropia	1
Lascolabacillus	1
Laribacter	1
Lagierella	1
Lactonifactor	1
Furfurilactobacillus	1
Liquorilactobacillus	1
Lapidilactobacillus	1
Massilioclostridium	1
unclassified Candidatus Melainabacteria	1
Kandleria	1
Merdibacter	1
Neofamilia	1
Neobacillus	1
Neglectibacter	1
Mycolicibacterium	1
Murimonas	1
Muricomes	1
Muribaculum	1
Mucispirillum	1
Mobilicoccus	1
Microvirga	1
Micromonospora	1
Methylorubrum	1
Methanosphaera	1
Methanomassiliicoccus	1
Phytobacter	1
Kosakonia	1
Johnsonella	1
Desmospora	1
Agathobaculum	1
Ethanoligenens	1
Atlantibacter	1
Eremococcus	1
Caldicellulosiruptor	1
unclassified Enterobacteriaceae	1
Enhydrobacter	1
Emergencia	1
Elusimicrobium	1
Eikenella	1
Eggerthia	1
unclassified Eggerthellaceae	1
Dielma	1
Oleidesulfovibrio	1
Halodesulfovibrio	1
Desulfomicrobium	1
Holdemanella	1
Amedibacillus	1
Hydrotalea	1
unclassified unclassified Clostridiales Incertae Sedis XIII	1
Halomonas	1
Acaricomes	1
Grimontia	1
Gracilibacter	1
Gorillibacterium	1
Gemmatimonas	1
Gemmata	1
Gabonibacter	1
Gabonia	1
Frisingicoccus	1
Fournierella	1
Flaviflexus	1
Filifactor	1
Fenollaria	1
Extibacter	1
Yokenella	1
